,City,Children_Needing_Care_DemandEstimated_InfantsToddlers,Available_Spaces_for_Children_Supply_InfantsToddlers,Percent_of_Need_Met_InfantsToddlers,Shortage_of_care_InfantsToddlers,Children_Needing_Care_DemandEstimated_Preschoolers,Available_Spaces_for_Children_Supply_Preschoolers,Percent_of_Need_Met_Preschoolers,Shortage_of_Care_Preschoolers,is_imputed_InfantsToddlers,is_imputed_Preschoolers,expected_slots_by_need_InfantsToddlers,delta_slots_InfantsToddlers,capacity_above_expectation_InfantsToddlers,expected_slots_by_need_Preschoolers,delta_slots_Preschoolers,capacity_above_expectation_Preschoolers
93,New Haven,3151,1224.0,39%,-1927,3326,4106.0,123%,780,0,0,980.4604005075013,243.53959949249872,24.839310120677887,3250.8992432754394,855.1007567245606,26.30351458887434
94,New London,446,176.0,39%,-270,585,415.0,71%,-170,0,0,138.7766863301636,37.22331366983639,26.822454588141987,571.7907568599314,-156.79075685993143,-27.42100234725194
95,New Milford,467,205.0,44%,-262,529,460.0,87%,-69,0,0,145.31101461028345,59.68898538971655,41.07671090852905,517.0552314169295,-57.05523141692947,-11.03464928893114
96,Newington,659,203.0,31%,-456,498,499.0,100%,1,0,0,205.0534445999503,-2.0534445999502964,-1.001419217295506,486.7552084038391,12.244791596160894,2.5155953926643835
97,Newtown,503,145.0,29%,-358,507,553.0,109%,46,0,0,156.512720233346,-11.512720233345988,-7.355772882984582,495.55198927860727,57.448010721392734,11.592731330777594
98,Norfolk,18,9.0,49%,-9,22,33.0,151%,11,0,0,5.600852811531268,3.3991471884687323,60.68981462020261,21.50324213832221,11.49675786167779,53.46522997659376
99,North Branford,83,127.0,2540%,122,5,222.0,4440%,217,1,1,25.826154630949734,101.17384536905027,391.7495531750779,4.88710048598232,217.11289951401767,4442.5708073071755
100,North Canaan,5,140.0,0%,-5,5,427.0,0%,-5,1,1,1.5557924476475744,138.44420755235242,8898.629618731346,4.88710048598232,422.11289951401767,8637.287093334073
101,North Haven,485,61.0,13%,-424,458,284.0,62%,-174,0,0,150.91186742181472,-89.91186742181472,-59.57905694089749,447.6584045159805,-163.65840451598052,-36.55876955843867
102,North Stonington,75,53.0,1060%,48,167,102.0,2040%,97,1,1,23.336886714713614,29.663113285286386,127.10827132988636,163.2291562318095,-61.2291562318095,-37.51116384186601
103,Norwalk,1771,461.0,26%,-1310,1483,1663.0,112%,180,0,0,551.0616849567708,-90.06168495677082,-16.343303738098918,1449.5140041423563,213.48599585764373,14.728108541728677
104,Norwich,1227,280.0,23%,-947,849,655.0,77%,-194,0,0,381.79146665271475,-101.79146665271475,-26.66153529966303,829.829662519798,-174.82966251979803,-21.068138488677725
105,Old Lyme,82,23.0,28%,-59,107,75.0,70%,-32,0,0,25.51499614142022,-2.5149961414202195,-9.85693326183756,104.58395040002165,-29.58395040002165,-28.287275711872063
106,Old Saybrook,300,72.0,24%,-228,184,211.0,115%,27,0,0,93.34754685885446,-21.347546858854457,-22.868888982302742,179.84529788414937,31.154702115850625,17.323056250222063
107,Orange,289,213.0,74%,-76,306,385.0,126%,79,0,0,89.9248034740298,123.0751965259702,136.86457103185575,299.090549742118,85.90945025788199,28.7235589128292
108,Oxford,222,7.0,3%,-215,278,55.0,20%,-223,0,0,69.0771846755523,-62.0771846755523,-89.86640808701425,271.72278702061703,-216.72278702061703,-79.75878261699603
109,Plainfield,365,119.0,33%,-246,371,308.0,83%,-63,0,0,113.57284867827292,5.427151321727081,4.778564053721164,362.6228560598882,-54.62285605988819,-15.063268943772004
110,Plainville,346,126.0,36%,-220,360,261.0,72%,-99,0,0,107.66083737721215,18.339162622787853,17.034200243615775,351.87123499072703,-90.87123499072703,-25.825138844646332
111,Plymouth,280,28.0,10%,-252,278,129.0,46%,-149,0,0,87.12437706826417,-59.12437706826417,-67.86203707595948,271.72278702061703,-142.72278702061703,-52.52514468349977
112,Pomfret,29,22.0,440%,17,47,55.0,1100%,50,1,1,9.02359619635593,12.97640380364407,143.80523597547986,45.93874456823381,9.061255431766192,19.72464749947033
